gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
5066,830635,"R.Bullock kicks 65 yards from CIN 35 to end zone, Touchback.",SEA,CIN,KOFF,0,6,2,5,12,7,10,3,2,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,RB-4650,65,40,Y,,0
5066,830636,(5:12) (Shotgun) R.Penny up the middle to SEA 25 for no gain (A.Billings; R.Glasgow).,SEA,CIN,RUSH,1,35,2,5,12,7,10,3,2,1,10,25,2,0,,,Y,,0,RP-0550,,MD,AB-1650,RG-1150,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830637,(4:28) (Shotgun) R.Penny right tackle to SEA 30 for 5 yards (G.Pratt; C.Dunlap).,SEA,CIN,RUSH,2,37,2,4,28,7,10,3,2,2,10,25,2,5,,,Y,,0,RP-0550,,RT,CD-2200,GP-0425,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830638,"(3:51) (Shotgun) R.Wilson pass incomplete deep middle to D.Metcalf. Penalty on SEA-D.Metcalf, Offensive Pass Interference, declined.",SEA,CIN,PASS,3,6,2,3,51,7,10,3,2,3,5,30,2,0,,,Y,,0,,,,,,RW-3850,,,DM,DM-2275,,,,,,SEA,DM-2275,Offensive Pass Interference,2,0,D,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830639,"(3:45) M.Dickson punts 51 yards to CIN 19, Center-T.Ott. A.Erickson to CIN 30 for 11 yards (S.Griffin49; W.Dissly).",CIN,SEA,PUNT,0,10,2,3,45,10,7,2,3,4,5,30,2,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,MD-0325,51,40,,AE-1037,11,,,0,0,,,0
5066,830640,(3:35) (Shotgun) J.Mixon up the middle to CIN 36 for 6 yards (M.Kendricks).,CIN,SEA,RUSH,1,35,2,3,35,10,7,2,3,1,10,30,2,6,Y,,Y,,0,JM-5275,,MD,MK-0730,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830641,"(3:00) (Shotgun) J.Mixon left end to CIN 35 for -1 yards (M.Kendricks, Q.Jefferson).",CIN,SEA,RUSH,2,39,2,3,0,10,7,2,3,2,4,36,2,-1,,,Y,,0,JM-5275,,LE,QJ-0150,MK-0730,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830642,(2:21) (Shotgun) A.Dalton pass short left to T.Eifert to CIN 39 for 4 yards (B.McDougald).,CIN,SEA,PASS,3,21,2,2,21,10,7,2,3,3,5,35,2,4,,,Y,,0,,,,,,AD-0100,Y,,SL,TE-0300,,BM-1250,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830643,"(2:00) K.Huber punts 38 yards to SEA 23, Center-C.Harris, fair catch by T.Lockett.",SEA,CIN,PUNT,0,7,2,2,0,7,10,3,2,4,1,39,2,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,KH-2600,38,38,,TL-1025,0,Y,,0,0,,,0
5066,830644,(1:53) (Shotgun) R.Wilson pass short left to C.Carson pushed ob at SEA 30 for 7 yards (D.Kirkpatrick).,SEA,CIN,PASS,1,5,2,1,53,7,10,3,2,1,10,23,2,7,Y,,Y,,0,,,,,,RW-3850,Y,,SL,CC-0750,,DK-0750,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
